id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
19699,2022-08-01 00:13:38,1659302018,,,🔴 00:13 Повітряна тривога в Харківська область,,#Харківська_область,Слідкуйте за подальшими повідомленнями.
19700,2022-08-01 00:14:19,1659302059,,,🔴 00:14 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
19701,2022-08-01 00:14:57,1659302097,,,🔴 00:14 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
19702,2022-08-01 00:15:56,1659302156,,,🔴 00:15 Повітряна тривога в Полтавська область,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
19703,2022-08-01 00:16:05,1659302165,,,🔴 00:16 Повітряна тривога в Черкаська область,,#Черкаська_область,Слідкуйте за подальшими повідомленнями.
19704,2022-08-01 00:16:18,1659302178,,,🔴 00:16 Повітряна тривога в Кіровоградська область,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
19705,2022-08-01 00:16:37,1659302197,,,🟢 00:16 Відбій тривоги в Кіровоградська область.,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
19706,2022-08-01 00:17:21,1659302241,,,🔴 00:17 Повітряна тривога в Донецька область,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
19707,2022-08-01 00:18:16,1659302296,,,🔴 00:18 Повітряна тривога в Кіровоградська область,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
19708,2022-08-01 00:20:16,1659302416,,,🔴 00:20 Повітряна тривога в Сумська область,,#Сумська_область,Слідкуйте за подальшими повідомленнями.
19709,2022-08-01 00:45:21,1659303921,,,🟢 00:45 Відбій тривоги в Харківська область.,,#Харківська_область,Слідкуйте за подальшими повідомленнями.
19710,2022-08-01 00:45:42,1659303942,,,🟢 00:45 Відбій тривоги в Дніпропетровська область.,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
19711,2022-08-01 00:46:00,1659303960,,,🟢 00:46 Відбій тривоги в Черкаська область.,,#Черкаська_область,Слідкуйте за подальшими повідомленнями.
19712,2022-08-01 00:46:11,1659303971,,,🟢 00:46 Відбій тривоги в Полтавська область.,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
19713,2022-08-01 00:46:19,1659303979,,,🟢 00:46 Відбій тривоги в Кіровоградська область.,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
19714,2022-08-01 00:47:28,1659304048,,,🟢 00:47 Відбій тривоги в Запорізька область.,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
19715,2022-08-01 00:48:00,1659304080,,,🟢 00:48 Відбій тривоги в Донецька область.,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
19716,2022-08-01 00:57:19,1659304639,,,🟢 00:57 Відбій тривоги в Сумська область.,,#Сумська_область,Слідкуйте за подальшими повідомленнями.
19717,2022-08-01 01:10:00,1659305400,,,🟡 01:10  Відбій тривоги в Миколаївська область.,,#Миколаївська_область,"Зверніть увагу, тривога ще триває у:
- м. Вознесенськ та Вознесенська територіальна громада"
19718,2022-08-01 01:11:00,1659305460,,,🟢 01:11 Відбій тривоги в м. Вознесенськ та Вознесенська територіальна громада.,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19719,2022-08-01 01:37:35,1659307055,,,🔴 01:37 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
19720,2022-08-01 01:41:46,1659307306,,,🔴 01:41 Повітряна тривога в Кривоозерська територіальна громада,,#Кривоозерська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19721,2022-08-01 02:09:28,1659308968,,,🔴 02:09 Повітряна тривога в Харківська область,,#Харківська_область,Слідкуйте за подальшими повідомленнями.
19722,2022-08-01 02:10:52,1659309052,,,🟡 02:10  Відбій тривоги в Кривоозерська територіальна громада.,,#Кривоозерська_територіальна_громада,"Зверніть увагу, тривога ще триває у:
- Миколаївська область"
19723,2022-08-01 02:19:43,1659309583,,,🔴 02:19 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
19724,2022-08-01 02:21:23,1659309683,,,🔴 02:21 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
19725,2022-08-01 02:54:53,1659311693,,,🟢 02:54 Відбій тривоги в Харківська область.,,#Харківська_область,Слідкуйте за подальшими повідомленнями.
19726,2022-08-01 02:55:20,1659311720,,,🟢 02:55 Відбій тривоги в Дніпропетровська область.,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
19727,2022-08-01 02:56:19,1659311779,,,🟢 02:56 Відбій тривоги в Запорізька область.,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
19728,2022-08-01 05:12:21,1659319941,,,🟢 05:12 Відбій загрози артобстрілу в м. Нікополь та Нікопольська територіальна громада.,,#м_Нікополь_та_Нікопольська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19729,2022-08-01 06:33:43,1659324823,,,🟢 06:33 Відбій тривоги в Миколаївська область.,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
19730,2022-08-01 10:13:05,1659337985,,,🔴 10:13 Повітряна тривога в м. Вознесенськ та Вознесенська територіальна громада,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19731,2022-08-01 10:13:51,1659338031,,,🔴 10:13 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
19732,2022-08-01 10:14:49,1659338089,,,🔴 10:14 Повітряна тривога в Арбузинська територіальна громада,,#Арбузинська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19733,2022-08-01 10:14:54,1659338094,,,🔴 10:14 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
19734,2022-08-01 10:15:24,1659338124,,,🔴 10:15 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
19735,2022-08-01 10:15:46,1659338146,,,🔴 10:15 Повітряна тривога в Кривоозерська територіальна громада,,#Кривоозерська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19736,2022-08-01 10:42:24,1659339744,,,🟡 10:42  Відбій тривоги в м. Вознесенськ та Вознесенська територіальна громада.,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,"Зверніть увагу, тривога ще триває у:
- Миколаївська область"
19737,2022-08-01 10:44:22,1659339862,,,🟡 10:44  Відбій тривоги в Миколаївська область.,,#Миколаївська_область,"Зверніть увагу, тривога ще триває у:
- Арбузинська територіальна громада
- Кривоозерська територіальна громада"
19738,2022-08-01 10:44:44,1659339884,,,🟢 10:44 Відбій тривоги в Запорізька область.,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
19739,2022-08-01 10:45:26,1659339926,,,🟢 10:45 Відбій тривоги в Дніпропетровська область.,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
19740,2022-08-01 10:45:34,1659339934,,,🟢 10:45 Відбій тривоги в Арбузинська територіальна громада.,,#Арбузинська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19741,2022-08-01 10:45:44,1659339944,,,🟢 10:45 Відбій тривоги в Кривоозерська територіальна громада.,,#Кривоозерська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19742,2022-08-01 16:35:01,1659360901,,,🔴 16:35 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
19743,2022-08-01 16:37:07,1659361027,,,🔴 16:37 Повітряна тривога в Кривоозерська територіальна громада,,#Кривоозерська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19744,2022-08-01 16:53:47,1659362027,,,🔴 16:53 Повітряна тривога в м. Вознесенськ та Вознесенська територіальна громада,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19745,2022-08-01 17:33:47,1659364427,,,🟡 17:33  Відбій тривоги в Кривоозерська територіальна громада.,,#Кривоозерська_територіальна_громада,"Зверніть увагу, тривога ще триває у:
- Миколаївська область"
19746,2022-08-01 17:36:58,1659364618,,,🟡 17:36  Відбій тривоги в Миколаївська область.,,#Миколаївська_область,"Зверніть увагу, тривога ще триває у:
- м. Вознесенськ та Вознесенська територіальна громада"
19747,2022-08-01 17:38:58,1659364738,,,🟢 17:38 Відбій тривоги в м. Вознесенськ та Вознесенська територіальна громада.,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
19748,2022-08-01 18:15:20,1659366920,,,🔴 18:15 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
19749,2022-08-01 18:15:45,1659366945,,,🔴 18:15 Повітряна тривога в Полтавська область,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
19750,2022-08-01 18:15:45,1659366945,,,🔴 18:15 Повітряна тривога в Харківська область,,#Харківська_область,Слідкуйте за подальшими повідомленнями.
19751,2022-08-01 18:16:05,1659366965,,,🔴 18:16 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
19752,2022-08-01 18:17:49,1659367069,,,🔴 18:17 Повітряна тривога в Сумська область,,#Сумська_область,Слідкуйте за подальшими повідомленнями.
19753,2022-08-01 18:18:38,1659367118,,,🔴 18:18 Повітряна тривога в Донецька область,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
